DBDF, Vendor ID, Device ID, Class ID, Base Address 0, Size 0, Base Address 1, Size 1, Base Address 2, Size 2, Vendor, Device, Class
0000:16:1e.1,0x8086,0x2081,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCU Registers,System peripheral
0000:16:1e.2,0x8086,0x2082,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCU Registers,System peripheral
0000:16:1e.3,0x8086,0x2083,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCU Registers,System peripheral
0000:16:1e.4,0x8086,0x2084,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCU Registers,System peripheral
0000:16:1e.5,0x8086,0x2085,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCU Registers,System peripheral
0000:16:1e.6,0x8086,0x2086,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCU Registers,System peripheral
0000:44:00.0,0x8086,0x2030,0x0604,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCI Express Root Port A,PCI bridge
0000:44:02.0,0x8086,0x2032,0x0604,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCI Express Root Port C,PCI bridge
0000:44:03.0,0x8086,0x2033,0x0604,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E PCI Express Root Port D,PCI bridge
0000:44:05.0,0x8086,0x2034,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E VT-d,System peripheral
0000:44:05.2,0x8086,0x2035,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E RAS Configuration Registers,System peripheral
0000:44:05.4,0x8086,0x2036,0x0800,0x00000000B4300000,0x00001000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E IOxAPIC Configuration Registers,PIC
0000:44:08.0,0x8086,0x2066,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:09.0,0x8086,0x2066,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0a.0,0x8086,0x2040,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0a.1,0x8086,0x2041,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0a.2,0x8086,0x2042,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0a.3,0x8086,0x2043,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0a.4,0x8086,0x2044,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0a.5,0x8086,0x2045,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LM Channel 1,System peripheral
0000:44:0a.6,0x8086,0x2046,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMS Channel 1,System peripheral
0000:44:0a.7,0x8086,0x2047,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMDP Channel 1,System peripheral
0000:44:0b.0,0x8086,0x2048,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E DECS Channel 2,System peripheral
0000:44:0b.1,0x8086,0x2049,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LM Channel 2,System peripheral
0000:44:0b.2,0x8086,0x204A,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMS Channel 2,System peripheral
0000:44:0b.3,0x8086,0x204B,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMDP Channel 2,System peripheral
0000:44:0c.0,0x8086,0x2040,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0c.1,0x8086,0x2041,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0c.2,0x8086,0x2042,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0c.3,0x8086,0x2043,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0c.4,0x8086,0x2044,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Integrated Memory Controller,System peripheral
0000:44:0c.5,0x8086,0x2045,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LM Channel 1,System peripheral
0000:44:0c.6,0x8086,0x2046,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMS Channel 1,System peripheral
0000:44:0c.7,0x8086,0x2047,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMDP Channel 1,System peripheral
0000:44:0d.0,0x8086,0x2048,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E DECS Channel 2,System peripheral
0000:44:0d.1,0x8086,0x2049,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LM Channel 2,System peripheral
0000:44:0d.2,0x8086,0x204A,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMS Channel 2,System peripheral
0000:44:0d.3,0x8086,0x204B,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E LMDP Channel 2,System peripheral
0000:45:00.0,0x1002,0x67E3,0x0300,0x00000000A000000C,0x10000000,0x0000000000000000,0x00000000,0x00000000B000000C,0x00200000,Advanced Micro Devices, Inc. [AMD/ATI],Baffin [Radeon Pro WX 4100],VGA compatible controller
0000:45:00.1,0x1002,0xAAE0,0x0403,0x00000000B4260004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Advanced Micro Devices, Inc. [AMD/ATI],Baffin HDMI/DP Audio [Radeon RX 550 640SP / RX 560/560X],Audio device
0000:47:00.0,0x144D,0xA808,0x0108,0x00000000B4100004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Samsung Electronics Co Ltd,NVMe SSD Controller SM981/PM981/PM983,Non-Volatile memory controller
0000:72:05.0,0x8086,0x2034,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E VT-d,System peripheral
0000:72:05.2,0x8086,0x2035,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E RAS Configuration Registers,System peripheral
0000:72:05.4,0x8086,0x2036,0x0800,0x00000000C5F00000,0x00001000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E IOxAPIC Configuration Registers,PIC
0000:72:0e.0,0x8086,0x2058,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E KTI 0,Performance counters
0000:72:0e.1,0x8086,0x2059,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E UPI Registers,System peripheral
0000:72:0f.0,0x8086,0x2058,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E KTI 0,Performance counters
0000:72:0f.1,0x8086,0x2059,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E UPI Registers,System peripheral
0000:72:10.0,0x8086,0x2058,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E KTI 0,Performance counters
0000:72:10.1,0x8086,0x2059,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E UPI Registers,System peripheral
0000:72:12.0,0x8086,0x204C,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M3KTI Registers,Performance counters
0000:72:12.1,0x8086,0x204D,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M3KTI Registers,Performance counters
0000:72:12.2,0x8086,0x204E,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M3KTI Registers,System peripheral
0000:72:12.4,0x8086,0x204C,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M3KTI Registers,Performance counters
0000:72:12.5,0x8086,0x204D,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M3KTI Registers,Performance counters
0000:72:15.0,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:72:16.0,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:72:16.4,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:72:17.0,0x8086,0x2018,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E M2PCI Registers,System peripheral
0000:a0:04.0,0x8086,0x2021,0x0880,0x000000003FF1C004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.1,0x8086,0x2021,0x0880,0x000000003FF18004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.2,0x8086,0x2021,0x0880,0x000000003FF14004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.3,0x8086,0x2021,0x0880,0x000000003FF10004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.4,0x8086,0x2021,0x0880,0x000000003FF0C004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.5,0x8086,0x2021,0x0880,0x000000003FF08004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.6,0x8086,0x2021,0x0880,0x000000003FF04004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:04.7,0x8086,0x2021,0x0880,0x000000003FF00004,0x00004000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CBDMA Registers,System peripheral
0000:a0:05.0,0x8086,0x2024,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E MM/Vt-d Configuration Registers,System peripheral
0000:a0:05.2,0x8086,0x2025,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E RAS,System peripheral
0000:a0:05.4,0x8086,0x2026,0x0800,0x00000000D3700000,0x00001000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E IOAPIC,PIC
0000:a0:08.0,0x8086,0x2014,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Ubox Registers,System peripheral
0000:a0:08.1,0x8086,0x2015,0x1101,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Ubox Registers,Performance counters
0000:a0:08.2,0x8086,0x2016,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E Ubox Registers,System peripheral
0000:a5:05.0,0x8086,0x2034,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E VT-d,System peripheral
0000:a5:05.2,0x8086,0x2035,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E RAS Configuration Registers,System peripheral
0000:a5:05.4,0x8086,0x2036,0x0800,0x00000000E0F00000,0x00001000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E IOxAPIC Configuration Registers,PIC
0000:a5:08.0,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.1,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.2,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.3,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.4,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.5,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.6,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:08.7,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.0,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.1,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.2,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.3,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.4,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.5,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.6,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:09.7,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:0a.0,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:0a.1,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
0000:a5:0a.2,0x8086,0x208D,0x0880,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,0x0000000000000000,0x00000000,Intel Corporation,Sky Lake-E CHA Registers,System peripheral
